0:2:55:617,PM 1.0 : 73, PM 2.5 : 73, PM 10 : 73,Temperature = 21.00, Humidity = 22.00,speed: 0.00, Latitude: 0.000000,Longitude: 0.000000 
0:2:57:660,PM 1.0 : 73, PM 2.5 : 73, PM 10 : 73,Temperature = 20.00, Humidity = 21.00,speed: 0.00, Latitude: 0.000000,Longitude: 0.000000 
0:2:59:704,PM 1.0 : 73, PM 2.5 : 73, PM 10 : 73,Temperature = 21.00, Humidity = 23.00,speed: 0.00, Latitude: 0.000000,Longitude: 0.000000 
0:3:1:747,PM 1.0 : 73, PM 2.5 : 73, PM 10 : 73,Temperature = 21.00, Humidity = 23.00,speed: 0.00, Latitude: 0.000000,Longitude: 0.000000 
0:3:3:790,PM 1.0 : 70, PM 2.5 : 70, PM 10 : 70,Temperature = 20.00, Humidity = 22.00,speed: 0.00, Latitude: 0.000000,Longitude: 0.000000 
0:3:5:834,PM 1.0 : 69, PM 2.5 : 69, PM 10 : 69,Temperature = 21.00, Humidity = 23.00,speed: 1.67, Latitude: 35.238765,Longitude: 126.868400 
0:3:7:882,PM 1.0 : 69, PM 2.5 : 69, PM 10 : 69,Temperature = 21.00, Humidity = 24.00,speed: 0.61, Latitude: 35.238761,Longitude: 126.868408 
0:3:9:928,PM 1.0 : 69, PM 2.5 : 69, PM 10 : 69,Temperature = 20.00, Humidity = 22.00,speed: 0.22, Latitude: 35.238765,Longitude: 126.868408 
0:3:11:976,PM 1.0 : 70, PM 2.5 : 70, PM 10 : 70,Temperature = 19.00, Humidity = 23.00,speed: 0.44, Latitude: 35.238765,Longitude: 126.868408 
0:3:14:23,PM 1.0 : 69, PM 2.5 : 69, PM 10 : 69,Temperature = 20.00, Humidity = 23.00,speed: 0.19, Latitude: 35.238758,Longitude: 126.868408 
0:3:16:71,PM 1.0 : 71, PM 2.5 : 71, PM 10 : 71,Temperature = 19.00, Humidity = 23.00,speed: 0.52, Latitude: 35.238746,Longitude: 126.868408 
0:3:18:118,PM 1.0 : 70, PM 2.5 : 70, PM 10 : 70,Temperature = 20.00, Humidity = 23.00,speed: 0.41, Latitude: 35.238742,Longitude: 126.868408 
0:3:20:166,PM 1.0 : 70, PM 2.5 : 70, PM 10 : 70,Temperature = 19.00, Humidity = 23.00,speed: 0.24, Latitude: 35.238735,Longitude: 126.868408 
0:3:22:213,PM 1.0 : 69, PM 2.5 : 69, PM 10 : 69,Temperature = 19.00, Humidity = 23.00,speed: 0.26, Latitude: 35.238731,Longitude: 126.868408 
0:3:24:261,PM 1.0 : 67, PM 2.5 : 67, PM 10 : 67,Temperature = 19.00, Humidity = 23.00,speed: 0.37, Latitude: 35.238723,Longitude: 126.868415 
0:3:26:308,PM 1.0 : 66, PM 2.5 : 66, PM 10 : 66,Temperature = 18.00, Humidity = 24.00,speed: 0.43, Latitude: 35.238719,Longitude: 126.868415 
0:3:28:356,PM 1.0 : 30, PM 2.5 : 31, PM 10 : 32,Temperature = 18.00, Humidity = 24.00,speed: 0.41, Latitude: 35.238719,Longitude: 126.868423 
0:3:30:404,PM 1.0 : 30, PM 2.5 : 31, PM 10 : 32,Temperature = 19.00, Humidity = 24.00,speed: 0.52, Latitude: 35.238708,Longitude: 126.868431 
0:3:32:451,PM 1.0 : 30, PM 2.5 : 31, PM 10 : 32,Temperature = 20.00, Humidity = 24.00,speed: 0.52, Latitude: 35.238700,Longitude: 126.868431 
0:3:34:498,PM 1.0 : 30, PM 2.5 : 31, PM 10 : 31,Temperature = 19.00, Humidity = 24.00,speed: 0.48, Latitude: 35.238693,Longitude: 126.868438 
0:3:36:545,PM 1.0 : 30, PM 2.5 : 31, PM 10 : 31,Temperature = 17.00, Humidity = 23.00,speed: 0.33, Latitude: 35.238689,Longitude: 126.868438 
0:3:38:592,PM 1.0 : 29, PM 2.5 : 29, PM 10 : 29,Temperature = 19.00, Humidity = 25.00,speed: 0.00, Latitude: 35.238685,Longitude: 126.868438 
0:3:40:638,PM 1.0 : 29, PM 2.5 : 29, PM 10 : 29,Temperature = 19.00, Humidity = 25.00,speed: 0.00, Latitude: 35.238685,Longitude: 126.868438 
0:3:42:685,PM 1.0 : 29, PM 2.5 : 29, PM 10 : 29,Temperature = 17.00, Humidity = 24.00,speed: 0.00, Latitude: 35.238685,Longitude: 126.868438 
0:3:44:732,PM 1.0 : 29, PM 2.5 : 29, PM 10 : 29,Temperature = 19.00, Humidity = 25.00,speed: 0.00, Latitude: 35.238685,Longitude: 126.868438 
0:3:46:780,PM 1.0 : 29, PM 2.5 : 29, PM 10 : 29,Temperature = 17.00, Humidity = 24.00,speed: 0.00, Latitude: 35.238685,Longitude: 126.868438 
0:3:48:827,PM 1.0 : 29, PM 2.5 : 29, PM 10 : 29,Temperature = 17.00, Humidity = 25.00,speed: 0.00, Latitude: 35.238685,Longitude: 126.868438 
0:3:50:875,PM 1.0 : 29, PM 2.5 : 29, PM 10 : 29,Temperature = 19.00, Humidity = 26.00,speed: 0.00, Latitude: 35.238685,Longitude: 126.868438 
0:3:52:922,PM 1.0 : 28, PM 2.5 : 28, PM 10 : 28,Temperature = 19.00, Humidity = 26.00,speed: 0.00, Latitude: 35.238685,Longitude: 126.868438 
0:3:54:970,PM 1.0 : 28, PM 2.5 : 28, PM 10 : 28,Temperature = 19.00, Humidity = 26.00,speed: 0.00, Latitude: 35.238685,Longitude: 126.868438 
0:3:57:17,PM 1.0 : 28, PM 2.5 : 28, PM 10 : 28,Temperature = 19.00, Humidity = 26.00,speed: 0.00, Latitude: 35.238685,Longitude: 126.868438 
0:3:59:65,PM 1.0 : 28, PM 2.5 : 28, PM 10 : 28,Temperature = 16.00, Humidity = 25.00,speed: 0.00, Latitude: 35.238685,Longitude: 126.868438 
0:4:1:112,PM 1.0 : 28, PM 2.5 : 28, PM 10 : 28,Temperature = 18.00, Humidity = 27.00,speed: 0.00, Latitude: 35.238685,Longitude: 126.868438 
0:4:3:159,PM 1.0 : 28, PM 2.5 : 28, PM 10 : 28,Temperature = 17.00, Humidity = 26.00,speed: 0.00, Latitude: 35.238685,Longitude: 126.868438 
0:4:5:207,PM 1.0 : 28, PM 2.5 : 28, PM 10 : 28,Temperature = 17.00, Humidity = 26.00,speed: 0.00, Latitude: 35.238685,Longitude: 126.868438 
0:4:7:254,PM 1.0 : 30, PM 2.5 : 30, PM 10 : 30,Temperature = 19.00, Humidity = 27.00,speed: 0.00, Latitude: 35.238685,Longitude: 126.868438 
0:4:9:302,PM 1.0 : 32, PM 2.5 : 32, PM 10 : 32,Temperature = 18.00, Humidity = 28.00,speed: 0.00, Latitude: 35.238685,Longitude: 126.868438 
0:4:11:350,PM 1.0 : 35, PM 2.5 : 35, PM 10 : 35,Temperature = 17.00, Humidity = 27.00,speed: 0.00, Latitude: 35.238685,Longitude: 126.868438 
0:4:13:391,PM 1.0 : 35, PM 2.5 : 35, PM 10 : 35,Temperature = 18.00, Humidity = 27.00,speed: 1.31, Latitude: 35.238708,Longitude: 126.868370 
0:4:15:441,PM 1.0 : 36, PM 2.5 : 36, PM 10 : 36,Temperature = 19.00, Humidity = 28.00,speed: 0.80, Latitude: 35.238708,Longitude: 126.868377 
0:4:17:488,PM 1.0 : 38, PM 2.5 : 38, PM 10 : 38,Temperature = 18.00, Humidity = 29.00,speed: 0.48, Latitude: 35.238708,Longitude: 126.868377 
0:4:19:534,PM 1.0 : 63, PM 2.5 : 63, PM 10 : 63,Temperature = 18.00, Humidity = 29.00,speed: 0.39, Latitude: 35.238697,Longitude: 126.868370 
